L1H	Sol	Europa	Fung's Claim	map		0	0	0	64.43	3	1	1	dja	Sol permit required	0.00	0.00	0.83	0.00	0.00	0.00	1.00	1.33	0.83	1.00	0.50	Large	3	
L3L	Sol	Europa	Illy Enterprise	map		0	0	0	64.43	0	1	0	dja	Sol permit required	0.54	0.54	0.33	0.04	0.33	0.17	0.00	0.17	0.29	0.00	0.00	Large	1	
M1L	WISE 1506+7027	3 E	Galouye Relay	map		-7.375	7.09375	-2.4375	70.48	0	0	0	dja		0.46	0.69	0.38	0.08	0.77	0.00	0.00	0.00	0.00	0.00	0.00	Medium	1	
L3L	WISE 1506+7027	1 C	Lee Lab	map		-7.375	7.09375	-2.4375	70.48	0	1	0	dja		0.54	0.54	0.33	0.04	0.33	0.17	0.00	0.17	0.29	0.00	0.00	Large	1	
M3L	WISE 1506+7027	2 E	Moon Laboratory	map		-7.375	7.09375	-2.4375	70.48	0	0	0	dja		0.43	0.52	0.48	0.13	0.52	0.09	0.00	0.00	0.04	0.00	0.00	Medium	1	
S1H	Lacaille 8760	2	Haignere Terminal	map		-0.6875	-9.09375	9.09375	64.96	2	0	0	dja		0.00	0.00	0.71	0.00	0.29	0.57	0.71	0.57	0.86	0.43	0.14	Small	3	
M4L	Kruger 60	B1	Andrews Vista	map		-12.625	0	-3.40625	76.91	0	0	0	dja		0.74	0.48	0.17	0.22	0.65	0.00	0.00	0.00	0.00	0.00	0.00	Medium	1	
L1M	Kruger 60	B1	Ehrenfried Kegel Horizons	map		-12.625	0	-3.40625	76.91	0	1	1	dja		1.10	0.02	0.24	0.00	0.31	0.47	0.41	0.43	0.18	0.29	0.31	Large	2	
L1L	TZ Arietis	5 E	Meikle Vista	map		-5.375	-10.59375	-8.5	76.15	0	1	1	dja		0.53	0.57	0.57	0.13	0.26	0.06	0.00	0.11	0.28	0.00	0.00	Large	1	
M6H	Kokary	3	Laing Settlement	map	1	3.5	-10.3125	-11.4375	70.68	1	1	0	dja	2 g	0.00	0.00	1.50	0.00	0.33	1.00	0.33	1.33	0.17	0.50	0.50	Medium	3	
S5L	Kokary	3	Redi Installation	map		3.5	-10.3125	-11.4375	70.68	0	0	0	dja		0.29	0.57	0.29	0.14	0.43	0.00	0.00	0.00	0.00	0.00	0.00	Small	1	
L1M	Kokary	3	Sawyer Beacon	map		3.5	-10.3125	-11.4375	70.68	0	1	1	dja	2 g, only for small ship (difficulty with place to land)	1.10	0.02	0.24	0.00	0.31	0.47	0.41	0.43	0.18	0.29	0.31	Large	2	
M4L	Groombridge 1618	B 5	Dickson Base	map		-2.34375	12.625	-9.34375	68.76	0	0	0	dja		0.74	0.48	0.17	0.22	0.65	0.00	0.00	0.00	0.00	0.00	0.00	Medium	1	
L1L	Groombridge 1618	A 1	Gulyaev Works	map		-2.34375	12.625	-9.34375	68.76	0	1	1	dja		0.53	0.57	0.57	0.13	0.26	0.06	0.00	0.11	0.28	0.00	0.00	Large	1	
L1L	Groombridge 1618	B 9	Mitchell Horizons	map		-2.34375	12.625	-9.34375	68.76	0	1	1	dja		0.53	0.57	0.57	0.13	0.26	0.06	0.00	0.11	0.28	0.00	0.00	Large	1	
S3M	Groombridge 1618	B 8	Tavernier Penal Colony	map		-2.34375	12.625	-9.34375	68.76	0	0	0	dja		0.94	0.00	0.11	0.00	0.48	0.45	0.18	0.48	0.44	0.42	0.00	Small	2	
S5L	Groombridge 1618	A 1	Tito Hub	map		-2.34375	12.625	-9.34375	68.76	0	0	0	dja		0.29	0.57	0.29	0.14	0.43	0.00	0.00	0.00	0.00	0.00	0.00	Small	1	
L2L	Groombridge 1618	B 7	Underwood Works	map		-2.34375	12.625	-9.34375	68.76	0	1	0	dja		0.50	0.50	0.44	0.12	0.26	0.18	0.03	0.18	0.24	0.03	0.00	Large	1	
L1M	70 Ophiuchi	Richardson	Leckie's Claim	map		-8.21875	3.09375	14.0625	66.86	0	1	1	dja		1.10	0.02	0.24	0.00	0.31	0.47	0.41	0.43	0.18	0.29	0.31	Large	2	
L2M	Altair	1	Galvani Depot	map		-12.3125	-2.75	11	72.82	0	1	0	dja		0.88	0.00	0.13	0.00	0.25	0.41	0.53	0.41	0.31	0.50	0.19	Large	2	
S1M	Altair	1	Heavside Horizons	map		-12.3125	-2.75	11	72.82	2	0	0	dja		1.20	0.00	0.27	0.00	0.33	0.13	0.20	0.53	0.53	0.27	0.00	Small	2	
L4M1	Altair	Lowing's Rock	Oleskiw Depot	map		-12.3125	-2.75	11	72.82	3	1	1	dja		0.33	1.00	0.33	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	Large	1	
L2L	Altair	1	Tito Landing	map		-12.3125	-2.75	11	72.82	0	1	0	dja		0.50	0.50	0.44	0.12	0.26	0.18	0.03	0.18	0.24	0.03	0.00	Large	1	
M1M	Eta Cassiopeiae	New Moon	Hewish Point	map		-16.25	-1.625	-10.5625	83.50	0	0	1	dja		1.21	0.00	0.38	0.00	0.50	0.46	0.33	0.50	0.33	0.29	0.00	Medium	2	
S3H	Delta Pavonis	Suzuki Reward	Bouch Holdings	map		8.375	-10.84375	14.46875	56.67	2	0	0	dja		0.00	0.00	1.67	0.00	1.33	0.33	1.67	0.33	0.00	0.67	0.00	Small	3	
L4M2	Delta Pavonis	Gold	Burckhardt Point	map	1	8.375	-10.84375	14.46875	56.67	3	1	1	dja													Large	2	
L1L	Delta Pavonis	Suzuki Reward	Daimler Settlement	map		8.375	-10.84375	14.46875	56.67	0	1	1	dja		0.53	0.57	0.57	0.13	0.26	0.06	0.00	0.11	0.28	0.00	0.00	Large	1	
L3M	Delta Pavonis	Gold	Ejeta Relay	map		8.375	-10.84375	14.46875	56.67	0	1	0	dja,Sevenperry		0.76	0.00	0.33	0.00	0.18	0.61	0.21	0.58	0.42	0.64	0.33	Large	2	
M3L	Delta Pavonis	Camp Mitterand	Vardeman Terminal	map		8.375	-10.84375	14.46875	56.67	0	0	0	dja		0.43	0.52	0.48	0.13	0.52	0.09	0.00	0.00	0.04	0.00	0.00	Medium	1	
